"date","season","hour","is.holiday","weekday","is.workingday","weathersit","temp","atemp","hum","windspeed","casual","registered"
"1","2011-01-01",1,0,0,6,0,1,9.84,14.395,0.81,0,3,13
"2","2011-01-01",1,1,0,6,0,1,9.02,13.635,0.8,0,8,32
"3","2011-01-01",1,2,0,6,0,1,9.02,13.635,0.8,0,5,27
"4","2011-01-01",1,3,0,6,0,1,9.84,14.395,0.75,0,3,10
"5","2011-01-01",1,4,0,6,0,1,9.84,14.395,0.75,0,0,1
"6","2011-01-01",1,5,0,6,0,2,9.84,12.88,0.75,6.0032,0,1
"7","2011-01-01",1,6,0,6,0,1,9.02,13.635,0.8,0,2,0
"8","2011-01-01",1,7,0,6,0,1,8.2,12.88,0.86,0,1,2
"9","2011-01-01",1,8,0,6,0,1,9.84,14.395,0.75,0,1,7
"10","2011-01-01",1,9,0,6,0,1,13.12,17.425,0.76,0,8,6
"11","2011-01-01",1,10,0,6,0,1,15.58,19.695,0.76,16.9979,12,24
"12","2011-01-01",1,11,0,6,0,1,14.76,16.665,0.81,19.0012,26,30
"13","2011-01-01",1,12,0,6,0,1,17.22,21.21,0.77,19.0012,29,55
"14","2011-01-01",1,13,0,6,0,2,18.86,22.725,0.72,19.9995,47,47
"15","2011-01-01",1,14,0,6,0,2,18.86,22.725,0.72,19.0012,35,71
"16","2011-01-01",1,15,0,6,0,2,18.04,21.97,0.77,19.9995,40,70
"17","2011-01-01",1,16,0,6,0,2,17.22,21.21,0.82,19.9995,41,52
"18","2011-01-01",1,17,0,6,0,2,18.04,21.97,0.82,19.0012,15,52
"19","2011-01-01",1,18,0,6,0,3,17.22,21.21,0.88,16.9979,9,26
"20","2011-01-01",1,19,0,6,0,3,17.22,21.21,0.88,16.9979,6,31
"21","2011-01-01",1,20,0,6,0,2,16.4,20.455,0.87,16.9979,11,25
"22","2011-01-01",1,21,0,6,0,2,16.4,20.455,0.87,12.998,3,31
"23","2011-01-01",1,22,0,6,0,2,16.4,20.455,0.94,15.0013,11,17
"24","2011-01-01",1,23,0,6,0,2,18.86,22.725,0.88,19.9995,15,24
"25","2011-01-02",1,0,0,0,0,2,18.86,22.725,0.88,19.9995,4,13
"26","2011-01-02",1,1,0,0,0,2,18.04,21.97,0.94,16.9979,1,16
"27","2011-01-02",1,2,0,0,0,2,17.22,21.21,1,19.0012,1,8
"28","2011-01-02",1,3,0,0,0,2,18.86,22.725,0.94,12.998,2,4
"29","2011-01-02",1,4,0,0,0,2,18.86,22.725,0.94,12.998,2,1
"30","2011-01-02",1,6,0,0,0,3,17.22,21.21,0.77,19.9995,0,2
"31","2011-01-02",1,7,0,0,0,2,16.4,20.455,0.76,12.998,0,1
"32","2011-01-02",1,8,0,0,0,3,16.4,20.455,0.71,15.0013,0,8
"33","2011-01-02",1,9,0,0,0,2,15.58,19.695,0.76,15.0013,1,19
"34","2011-01-02",1,10,0,0,0,2,14.76,17.425,0.81,15.0013,7,46
"35","2011-01-02",1,11,0,0,0,2,14.76,16.665,0.71,16.9979,16,54
"36","2011-01-02",1,12,0,0,0,2,14.76,16.665,0.66,19.9995,20,73
"37","2011-01-02",1,13,0,0,0,2,14.76,17.425,0.66,8.9981,11,64
"38","2011-01-02",1,14,0,0,0,3,14.76,17.425,0.76,12.998,4,55
"39","2011-01-02",1,15,0,0,0,3,13.94,16.665,0.81,11.0014,19,55
"40","2011-01-02",1,16,0,0,0,3,13.94,16.665,0.71,11.0014,9,67
"41","2011-01-02",1,17,0,0,0,1,13.94,16.665,0.57,12.998,7,58
"42","2011-01-02",1,18,0,0,0,2,14.76,16.665,0.46,22.0028,10,43
"43","2011-01-02",1,19,0,0,0,1,13.12,14.395,0.42,30.0026,1,29
"44","2011-01-02",1,20,0,0,0,1,12.3,13.635,0.39,23.9994,5,17
"45","2011-01-02",1,21,0,0,0,1,10.66,11.365,0.44,22.0028,11,20
"46","2011-01-02",1,22,0,0,0,1,9.84,10.605,0.44,19.9995,0,9
"47","2011-01-02",1,23,0,0,0,1,9.02,11.365,0.47,11.0014,0,8
"48","2011-01-03",1,0,0,1,1,1,9.02,9.85,0.44,23.9994,0,5
"49","2011-01-03",1,1,0,1,1,1,8.2,8.335,0.44,27.9993,0,2
"50","2011-01-03",1,4,0,1,1,1,6.56,6.82,0.47,26.0027,0,1
"51","2011-01-03",1,5,0,1,1,1,6.56,6.82,0.47,19.0012,0,3
"52","2011-01-03",1,6,0,1,1,1,5.74,5.305,0.5,26.0027,0,30
"53","2011-01-03",1,7,0,1,1,1,5.74,6.82,0.5,12.998,1,63
"54","2011-01-03",1,8,0,1,1,1,5.74,6.06,0.5,19.0012,1,153
"55","2011-01-03",1,9,0,1,1,1,6.56,6.82,0.43,26.0027,7,81
"56","2011-01-03",1,10,0,1,1,1,7.38,8.335,0.43,16.9979,11,33
"57","2011-01-03",1,11,0,1,1,1,8.2,9.09,0.4,22.0028,10,41
"58","2011-01-03",1,12,0,1,1,1,9.02,10.605,0.35,19.9995,13,48
"59","2011-01-03",1,13,0,1,1,1,9.84,10.605,0.35,19.0012,8,53
"60","2011-01-03",1,14,0,1,1,1,10.66,12.12,0.3,19.0012,11,66
"61","2011-01-03",1,15,0,1,1,1,10.66,12.12,0.3,16.9979,14,58
"62","2011-01-03",1,16,0,1,1,1,10.66,12.12,0.3,16.9979,9,67
"63","2011-01-03",1,17,0,1,1,1,9.84,11.365,0.3,15.0013,11,146
"64","2011-01-03",1,18,0,1,1,1,9.84,12.88,0.32,7.0015,9,148
"65","2011-01-03",1,19,0,1,1,1,8.2,12.88,0.47,0,8,102
"66","2011-01-03",1,20,0,1,1,1,8.2,11.365,0.47,7.0015,3,49
"67","2011-01-03",1,21,0,1,1,1,7.38,9.85,0.64,8.9981,3,49
"68","2011-01-03",1,22,0,1,1,1,5.74,7.575,0.69,8.9981,0,20
"69","2011-01-03",1,23,0,1,1,1,7.38,10.605,0.55,7.0015,1,11
"70","2011-01-04",1,0,0,2,1,1,6.56,9.09,0.55,7.0015,0,5
"71","2011-01-04",1,1,0,2,1,1,6.56,9.09,0.59,7.0015,0,2
"72","2011-01-04",1,2,0,2,1,1,5.74,7.575,0.63,8.9981,0,1
"73","2011-01-04",1,4,0,2,1,1,5.74,9.09,0.63,6.0032,0,2
"74","2011-01-04",1,5,0,2,1,1,4.92,7.575,0.68,7.0015,0,4
"75","2011-01-04",1,6,0,2,1,1,4.92,7.575,0.74,7.0015,0,36
"76","2011-01-04",1,7,0,2,1,1,4.92,7.575,0.74,8.9981,2,92
"77","2011-01-04",1,8,0,2,1,1,5.74,7.575,0.69,11.0014,2,177
"78","2011-01-04",1,9,0,2,1,1,6.56,7.575,0.64,15.0013,2,98
"79","2011-01-04",1,10,0,2,1,2,6.56,6.82,0.69,22.0028,5,37
"80","2011-01-04",1,11,0,2,1,1,9.02,10.605,0.51,19.9995,7,50
"81","2011-01-04",1,12,0,2,1,1,9.02,11.365,0.51,11.0014,12,66
"82","2011-01-04",1,13,0,2,1,1,9.84,11.365,0.56,12.998,18,79
"83","2011-01-04",1,14,0,2,1,1,10.66,12.88,0.52,15.0013,9,54
"84","2011-01-04",1,15,0,2,1,1,11.48,13.635,0.52,16.9979,17,48
"85","2011-01-04",1,16,0,2,1,1,12.3,14.395,0.49,16.9979,15,68
"86","2011-01-04",1,17,0,2,1,1,11.48,13.635,0.48,15.0013,10,202
"87","2011-01-04",1,18,0,2,1,1,10.66,12.88,0.48,12.998,3,179
"88","2011-01-04",1,19,0,2,1,1,9.84,12.88,0.48,7.0015,2,110
"89","2011-01-04",1,20,0,2,1,1,9.84,12.88,0.48,7.0015,1,53
"90","2011-01-04",1,21,0,2,1,1,9.02,13.635,0.64,0,0,48
"91","2011-01-04",1,22,0,2,1,1,9.02,12.88,0.64,6.0032,1,34
"92","2011-01-04",1,23,0,2,1,1,8.2,11.365,0.69,6.0032,2,9
"93","2011-01-05",1,0,0,3,1,1,8.2,12.88,0.64,0,0,6
"94","2011-01-05",1,1,0,3,1,1,6.56,9.85,0.74,6.0032,0,6
"95","2011-01-05",1,2,0,3,1,1,6.56,9.85,0.74,6.0032,0,2
"96","2011-01-05",1,4,0,3,1,1,9.84,11.365,0.48,15.0013,0,2
"97","2011-01-05",1,5,0,3,1,1,9.02,11.365,0.47,11.0014,0,3
"98","2011-01-05",1,6,0,3,1,1,8.2,9.85,0.47,15.0013,0,33
"99","2011-01-05",1,7,0,3,1,1,7.38,9.09,0.43,12.998,1,87
"100","2011-01-05",1,8,0,3,1,1,8.2,9.09,0.4,19.9995,3,192
"101","2011-01-05",1,9,0,3,1,1,9.02,9.85,0.37,22.0028,6,109
"102","2011-01-05",1,10,0,3,1,1,9.02,9.85,0.37,22.0028,4,53
"103","2011-01-05",1,11,0,3,1,1,10.66,11.365,0.33,22.0028,12,34
"104","2011-01-05",1,12,0,3,1,1,10.66,11.365,0.33,22.0028,5,74
"105","2011-01-05",1,13,0,3,1,1,11.48,12.88,0.3,19.9995,6,65
"106","2011-01-05",1,14,0,3,1,1,12.3,14.395,0.28,12.998,10,52
"107","2011-01-05",1,15,0,3,1,1,12.3,14.395,0.28,12.998,7,55
"108","2011-01-05",1,16,0,3,1,1,12.3,15.91,0.28,6.0032,4,85
"109","2011-01-05",1,17,0,3,1,1,9.84,11.365,0.38,12.998,4,186
"110","2011-01-05",1,18,0,3,1,1,9.84,12.12,0.38,8.9981,3,166
"111","2011-01-05",1,19,0,3,1,1,9.84,12.88,0.38,7.0015,5,127
"112","2011-01-05",1,20,0,3,1,1,9.02,11.365,0.47,11.0014,7,82
"113","2011-01-05",1,21,0,3,1,1,8.2,9.85,0.51,12.998,3,40
"114","2011-01-05",1,22,0,3,1,1,7.38,9.85,0.55,8.9981,1,41
"115","2011-01-05",1,23,0,3,1,1,8.2,12.88,0.47,0,1,18
"116","2011-01-06",1,0,0,4,1,1,7.38,12.12,0.55,0,0,11
"117","2011-01-06",1,1,0,4,1,1,6.56,11.365,0.64,0,0,4
"118","2011-01-06",1,2,0,4,1,1,6.56,11.365,0.64,0,0,2
"119","2011-01-06",1,4,0,4,1,2,6.56,9.85,0.64,6.0032,0,1
"120","2011-01-06",1,5,0,4,1,2,5.74,9.09,0.69,6.0032,0,4
"121","2011-01-06",1,6,0,4,1,2,5.74,8.335,0.63,7.0015,0,36
"122","2011-01-06",1,7,0,4,1,2,6.56,11.365,0.59,0,0,95
"123","2011-01-06",1,8,0,4,1,1,6.56,11.365,0.59,0,3,216
"124","2011-01-06",1,9,0,4,1,2,7.38,12.12,0.51,0,6,116
"125","2011-01-06",1,10,0,4,1,1,8.2,12.88,0.47,0,3,42
"126","2011-01-06",1,11,0,4,1,1,9.02,12.88,0.44,6.0032,2,57
"127","2011-01-06",1,12,0,4,1,1,10.66,14.395,0.35,0,6,78
"128","2011-01-06",1,13,0,4,1,1,10.66,13.635,0.35,7.0015,12,55
"129","2011-01-06",1,14,0,4,1,1,11.48,13.635,0.36,11.0014,11,59
"130","2011-01-06",1,15,0,4,1,1,11.48,13.635,0.36,0,8,54
"131","2011-01-06",1,16,0,4,1,1,10.66,12.88,0.38,11.0014,12,74
"132","2011-01-06",1,17,0,4,1,1,9.02,11.365,0.51,11.0014,9,163
"133","2011-01-06",1,18,0,4,1,1,9.02,11.365,0.51,8.9981,5,158
"134","2011-01-06",1,19,0,4,1,1,9.02,12.88,0.55,6.0032,3,109
"135","2011-01-06",1,20,0,4,1,1,8.2,10.605,0.51,11.0014,3,66
"136","2011-01-06",1,21,0,4,1,2,9.02,10.605,0.55,15.0013,0,48
"137","2011-01-06",1,22,0,4,1,2,9.02,10.605,0.51,19.0012,1,51
"138","2011-01-06",1,23,0,4,1,2,8.2,9.85,0.59,12.998,4,19
"139","2011-01-07",1,0,0,5,1,2,8.2,9.85,0.64,12.998,4,13
"140","2011-01-07",1,1,0,5,1,2,8.2,9.85,0.69,15.0013,2,5
"141","2011-01-07",1,2,0,5,1,2,8.2,9.85,0.69,15.0013,0,1
"142","2011-01-07",1,4,0,5,1,2,8.2,10.605,0.69,8.9981,0,1
"143","2011-01-07",1,5,0,5,1,3,9.02,13.635,0.55,0,0,5
"144","2011-01-07",1,6,0,5,1,2,8.2,12.88,0.69,0,8,26
"145","2011-01-07",1,7,0,5,1,1,8.2,10.605,0.69,8.9981,8,76
"146","2011-01-07",1,8,0,5,1,1,8.2,9.85,0.51,16.9979,20,190
"147","2011-01-07",1,9,0,5,1,1,8.2,9.09,0.47,19.9995,9,125
"148","2011-01-07",1,10,0,5,1,1,9.02,9.85,0.37,22.0028,16,47
"149","2011-01-07",1,11,0,5,1,2,8.2,9.85,0.4,15.0013,19,48
"150","2011-01-07",1,12,0,5,1,2,8.2,9.85,0.37,16.9979,9,50
"151","2011-01-07",1,13,0,5,1,2,8.2,9.09,0.37,19.0012,9,64
"152","2011-01-07",1,14,0,5,1,2,8.2,9.85,0.4,16.9979,7,43
"153","2011-01-07",1,15,0,5,1,2,8.2,10.605,0.37,11.0014,9,63
"154","2011-01-07",1,16,0,5,1,2,8.2,10.605,0.37,11.0014,5,82
"155","2011-01-07",1,17,0,5,1,2,8.2,12.88,0.37,0,9,178
"156","2011-01-07",1,18,0,5,1,1,8.2,11.365,0.4,6.0032,7,116
"157","2011-01-07",1,19,0,5,1,1,6.56,9.85,0.55,6.0032,3,92
