,close,high,low,open,vol
2000-01-03,11610.0,11881.8,11574.4,11846.6,60107000.0
2000-01-04,11206.6,11530.0,11159.8,11499.5,62539000.0
2000-01-05,10863.1,11068.1,10824.9,11206.6,68153000.0
2000-01-07,11102.4,11137.9,10882.7,10963.4,144207000.0
2000-01-10,11173.3,11364.3,11120.6,11363.8,133817000.0
2000-01-11,11012.4,11234.6,10919.9,11233.0,73650000.0
2000-01-12,10851.8,10947.1,10821.4,10932.9,115797000.0
2000-01-13,10931.9,11169.8,10827.6,10989.9,139485000.0
2000-01-14,11184.0,11212.1,10976.3,10980.7,97119000.0
2000-01-17,11285.6,11394.2,11191.5,11384.9,94058000.0
2000-01-18,11066.3,11355.4,11032.5,11335.7,88682000.0
2000-01-19,11120.7,11134.4,10931.6,10981.5,79358000.0
2000-01-20,11047.6,11258.1,10970.4,11139.7,74005000.0
2000-01-21,10969.3,11073.9,10904.4,10992.2,80696000.0
2000-01-24,10955.0,11142.2,10908.8,11060.9,53854000.0
2000-01-25,10863.5,10901.5,10808.8,10828.2,65985000.0
2000-01-26,11031.4,11044.3,10923.6,10965.1,78070000.0
2000-01-27,11206.6,11293.6,11084.2,11134.3,118800000.0
2000-01-28,11009.3,11310.9,10987.5,11307.3,82913000.0
2000-01-31,10835.1,10960.0,10770.5,10889.1,97823000.0
2000-02-01,10970.0,10987.9,10840.0,10960.7,66505000.0
2000-02-02,11195.6,11215.8,10926.7,11049.7,70471000.0
2000-02-03,11544.1,11564.5,11208.9,11275.1,69657000.0
2000-02-04,11580.1,11704.9,11510.7,11592.9,65574000.0
2000-02-07,11506.8,11708.7,11469.0,11617.2,61544000.0
2000-02-08,11834.8,11834.8,11492.0,11567.1,70379000.0
2000-02-09,11939.5,12102.8,11851.1,11932.8,79532000.0
2000-02-10,12020.6,12067.6,11757.8,11766.3,70339000.0
2000-02-11,12432.6,12463.7,12133.8,12170.4,95879000.0
2000-02-14,12458.6,12912.3,12333.5,12595.5,132608000.0
2000-02-15,12165.1,12633.2,12144.4,12545.3,90342000.0
2000-02-16,12235.1,12390.5,12089.9,12357.8,110033000.0
2000-02-17,12326.7,12418.8,12126.0,12198.5,69009000.0
2000-02-18,12368.0,12474.1,12323.8,12377.3,87236000.0
2000-02-21,12260.3,12292.8,12112.9,12169.5,63035000.0
2000-02-22,12076.9,12411.2,12053.9,12217.0,85076000.0
2000-02-23,12312.3,12318.2,12119.3,12192.3,102327000.0
2000-02-24,12352.3,12572.9,12312.1,12444.5,84609000.0
2000-02-25,12690.9,12695.0,12456.2,12484.4,77982000.0
2000-02-28,12467.0,12710.5,12372.3,12603.9,58373000.0
2000-02-29,12585.8,12625.9,12499.7,12552.2,65359000.0
2000-03-01,12538.7,12702.4,12500.9,12677.0,69235000.0
2000-03-02,12709.6,12711.6,12450.2,12603.3,95692000.0
2000-03-03,12745.0,12864.8,12315.3,12729.9,97886000.0
2000-03-06,12816.8,12852.9,12678.5,12844.3,92578000.0
2000-03-07,12667.2,12968.5,12654.2,12804.7,67320000.0
2000-03-08,12668.3,12717.8,12472.7,12480.8,71867000.0
2000-03-09,12563.2,12744.6,12539.8,12686.0,72385000.0
2000-03-10,12513.7,12769.4,12445.9,12710.4,120997000.0
2000-03-13,12359.7,12862.8,12198.1,12822.2,87277000.0
2000-03-14,12555.8,12557.9,12302.5,12413.7,90030000.0
2000-03-15,12279.5,12468.9,12229.6,12433.2,82634000.0
2000-03-16,12260.9,12474.9,12222.4,12404.7,90245000.0
2000-03-17,12369.8,12553.6,12206.4,12497.7,105573000.0
2000-03-20,12362.4,12529.7,12362.1,12396.4,93615000.0
2000-03-21,12308.3,12375.4,12156.7,12309.6,68230000.0
2000-03-22,12172.2,12489.0,12091.8,12419.6,79689000.0
2000-03-23,12073.3,12273.2,11970.9,12193.3,69097000.0
2000-03-24,12213.8,12240.0,12030.7,12123.8,58795000.0
2000-03-27,12162.0,12266.5,12120.7,12223.2,65374000.0
2000-03-28,12211.1,12297.9,12084.3,12176.4,59814000.0
2000-03-29,12088.6,12204.8,12043.2,12160.9,61617000.0
2000-03-30,11833.4,12001.4,11827.9,11971.8,76050000.0
2000-03-31,11935.0,11978.9,11633.8,11743.3,110049000.0
2000-04-03,11686.4,11958.6,11622.2,11869.8,92677000.0
2000-04-04,11584.2,11771.5,11575.2,11594.3,91216000.0
2000-04-05,11374.6,11618.8,11189.8,11542.3,81888000.0
2000-04-06,11607.9,11648.1,11412.7,11474.7,78830000.0
2000-04-07,11790.6,11790.7,11683.9,11726.5,65402000.0
2000-04-10,11768.7,11918.5,11743.8,11853.2,55729000.0
2000-04-11,11515.3,11722.2,11502.6,11532.3,58295000.0
2000-04-12,11542.1,11667.2,11499.1,11593.0,57886000.0
2000-04-13,11647.2,11660.5,11379.4,11412.8,57976000.0
2000-04-14,11363.9,11632.0,11323.4,11526.6,78119000.0
2000-04-17,11217.3,11267.4,10771.6,10879.4,92645000.0
2000-04-18,11261.5,11390.9,11117.9,11371.9,61378000.0
2000-04-19,11339.8,11411.0,11265.7,11372.7,64686000.0
2000-04-20,11502.0,11543.3,11317.2,11339.8,59781000.0
2000-04-24,11502.0,11502.0,11502.0,11502.0,0.0
2000-04-25,11425.5,11460.6,11325.4,11330.2,57131000.0
2000-04-26,11481.5,11573.9,11447.6,11534.7,62348000.0
2000-04-27,11273.0,11525.4,11232.7,11473.7,60929000.0
2000-04-28,11467.9,11501.8,11349.7,11397.4,74650000.0
2000-05-02,11867.2,11867.2,11569.2,11651.4,60761000.0
2000-05-03,11667.9,11974.4,11633.5,11758.6,69709000.0
2000-05-04,11597.5,11700.4,11513.3,11616.3,58336000.0
2000-05-05,11560.9,11652.5,11454.7,11599.8,58119000.0
2000-05-08,11304.0,11484.2,11267.9,11420.4,69637000.0
2000-05-09,11071.7,11366.3,11053.5,11293.4,68573000.0
2000-05-10,10832.3,11151.6,10808.1,11056.3,78113000.0
2000-05-11,11036.3,11038.6,10685.6,10771.4,84396000.0
2000-05-12,11102.6,11184.9,10972.7,11122.0,51511000.0
2000-05-15,11009.3,11164.7,10938.3,11060.7,38552000.0
2000-05-16,11220.7,11260.4,11058.5,11068.4,61080000.0
2000-05-17,10905.3,11227.6,10899.1,11227.6,89026000.0
2000-05-18,10889.6,11081.1,10850.0,10895.0,85047000.0
2000-05-19,10544.9,10930.9,10488.3,10915.2,87058000.0
2000-05-22,10326.3,10628.5,10264.5,10531.4,71458000.0
2000-05-23,10380.1,10503.8,10330.9,10441.9,87181000.0
2000-05-24,10342.4,10412.9,10211.3,10214.8,88622000.0
2000-05-25,10560.6,10588.9,10382.5,10418.1,91961000.0
2000-05-26,10437.1,10545.1,10370.1,10428.9,71560000.0
2000-05-29,10558.9,10563.8,10436.9,10437.8,48536000.0
2000-05-30,10648.5,10721.7,10544.7,10595.1,76250000.0
2000-05-31,10688.5,10813.1,10643.5,10771.6,78174000.0
2000-06-01,10875.5,10898.9,10640.5,10640.5,71921000.0
2000-06-02,11141.5,11220.5,10870.8,10880.8,108258000.0
2000-06-05,11004.2,11183.5,10993.0,11157.4,62803000.0
2000-06-06,10782.5,11047.7,10751.1,11008.0,88621000.0
2000-06-07,10688.9,10768.6,10520.3,10743.8,67438000.0
2000-06-08,10799.6,10954.9,10738.6,10781.9,63113000.0
2000-06-09,10873.2,11001.2,10783.3,10802.5,66120000.0
2000-06-12,10791.3,10961.3,10766.2,10931.6,51734000.0
2000-06-13,10806.0,10946.9,10690.9,10772.0,57464000.0
2000-06-14,10880.7,10965.8,10798.5,10856.3,68356000.0
2000-06-15,10876.0,10950.0,10837.4,10837.4,61150000.0
2000-06-16,10723.8,10918.8,10663.6,10889.8,128675000.0
2000-06-19,10595.6,10754.6,10564.8,10646.1,54328000.0
2000-06-20,10563.4,10688.5,10563.4,10672.6,58072000.0
2000-06-21,10351.4,10530.5,10351.4,10491.9,75545000.0
2000-06-22,10490.5,10566.2,10413.1,10416.5,77473000.0
2000-06-23,10533.1,10631.6,10415.8,10491.9,67283000.0
2000-06-26,10488.9,10603.3,10467.2,10497.3,72558000.0
2000-06-27,10528.2,10588.3,10449.6,10492.1,70061000.0
2000-06-28,10583.2,10615.5,10505.9,10561.1,66578000.0
2000-06-29,10366.4,10624.0,10366.4,10614.2,81134000.0
2000-06-30,10581.3,10605.3,10387.6,10437.0,90760000.0
2000-07-03,10676.7,10697.0,10454.2,10578.2,54397000.0
2000-07-04,10848.9,10892.2,10661.5,10664.6,69565000.0
2000-07-05,10757.6,10962.7,10733.6,10794.4,102660000.0
2000-07-06,10739.6,10845.0,10685.1,10694.5,71760000.0
2000-07-07,10896.7,10896.7,10747.3,10820.8,68464000.0
2000-07-10,10828.9,10920.7,10807.7,10902.1,51169000.0
2000-07-11,10874.8,10902.3,10749.1,10820.2,63258000.0
2000-07-12,10878.7,11015.7,10831.0,10838.0,97351000.0
2000-07-13,10848.2,10974.8,10783.0,10908.8,96406000.0
2000-07-14,11002.6,11002.6,10772.8,10834.4,91315000.0
2000-07-17,10949.2,11063.9,10892.5,10961.1,86497000.0
2000-07-18,10791.5,10977.0,10775.4,10955.6,82762000.0
2000-07-19,10850.7,10924.4,10747.1,10752.0,93675000.0
2000-07-20,10986.1,10997.8,10801.2,10857.5,67417000.0
2000-07-21,10879.6,11039.5,10845.0,10973.2,86534000.0
2000-07-24,10831.5,10924.4,10812.5,10861.7,55456000.0
2000-07-25,10714.6,10842.2,10703.4,10809.1,73680000.0
2000-07-26,10743.8,10840.2,10722.6,10747.4,66438000.0
2000-07-27,10726.0,10856.6,10713.4,10799.8,69894000.0
2000-07-28,10560.0,10735.0,10526.8,10735.0,66700000.0
2000-07-31,10531.6,10584.7,10375.0,10582.3,73342000.0
2000-08-01,10549.0,10591.3,10481.1,10577.4,63543000.0
2000-08-02,10644.5,10656.1,10522.8,10569.3,76501000.0
2000-08-03,10453.0,10645.7,10453.0,10624.4,74875000.0
