date,open,high,low,close,volume
2015-06-22,127.49,128.06,127.08,127.61,34039345
2015-06-23,127.48,127.61,126.88,127.03,30268863
2015-06-24,127.21,129.8,127.12,128.11,55280855
2015-06-25,128.86,129.2,127.5,127.5,31938100
2015-06-26,127.67,127.99,126.51,126.75,44066841
2015-06-29,125.46,126.47,124.48,124.53,49161427
2015-06-30,125.57,126.12,124.86,125.43,44370682
2015-07-01,126.9,126.94,125.99,126.6,30238811
2015-07-02,126.43,126.69,125.77,126.44,27210952
2015-07-06,124.94,126.23,124.85,126.0,28060431
2015-07-07,125.89,126.15,123.77,125.69,46946811
2015-07-08,124.48,124.64,122.54,122.57,60761614
2015-07-09,123.85,124.06,119.22,120.07,78595038
2015-07-10,121.94,123.85,121.21,123.28,61354474
2015-07-13,125.03,125.76,124.32,125.66,41440538
2015-07-14,126.04,126.37,125.04,125.61,31768139
2015-07-15,125.72,127.15,125.58,126.82,33649200
2015-07-16,127.74,128.57,127.35,128.51,36222447
2015-07-17,129.08,129.62,128.31,129.62,46164710
2015-07-20,130.97,132.97,130.7,132.07,58900203
2015-07-21,132.85,132.92,130.32,130.75,76756427
2015-07-22,121.99,125.5,121.99,125.22,115450607
2015-07-23,126.2,127.09,125.06,125.16,50999452
2015-07-24,125.32,125.74,123.9,124.5,42162332
2015-07-27,123.09,123.61,122.12,122.77,44455540
2015-07-28,123.38,123.91,122.55,123.38,33618097
2015-07-29,123.15,123.5,122.27,122.99,37011653
2015-07-30,122.32,122.57,121.71,122.37,33628268
2015-07-31,122.6,122.64,120.91,121.3,42884953
2015-08-03,121.5,122.57,117.52,118.44,69975968
2015-08-04,117.42,117.7,113.25,114.64,124138623
2015-08-05,112.95,117.44,112.1,115.4,99312613
2015-08-06,115.97,116.5,114.12,115.13,52903040
2015-08-07,114.58,116.25,114.5,115.52,38670405
2015-08-10,116.53,119.99,116.53,119.72,54951597
2015-08-11,117.81,118.18,113.33,113.49,97082814
2015-08-12,112.53,115.42,109.63,115.24,101685610
2015-08-13,116.04,116.4,114.54,115.15,48535789
2015-08-14,114.32,116.31,114.01,115.96,42929516
2015-08-17,116.04,117.65,115.5,117.16,40884745
2015-08-18,116.43,117.44,116.01,116.5,34560708
2015-08-19,116.1,116.52,114.68,115.01,48286510
2015-08-20,114.08,114.35,111.63,112.65,68501622
2015-08-21,110.43,111.9,105.65,105.76,128275471
2015-08-24,94.87,108.8,92.0,103.12,162206292
2015-08-25,111.11,111.11,103.5,103.74,103601599
2015-08-26,107.09,109.89,105.05,109.69,96774611
2015-08-27,112.23,113.24,110.02,112.92,84616056
2015-08-28,112.17,113.31,111.54,113.29,53164407
2015-08-31,112.03,114.53,112.0,112.76,56229271
2015-09-01,110.15,111.88,107.36,107.72,76845860
2015-09-02,110.23,112.34,109.13,112.34,61888812
2015-09-03,112.49,112.78,110.04,110.37,53233940
2015-09-04,108.97,110.45,108.51,109.27,49996311
2015-09-08,111.65,112.56,110.32,112.31,54843630
2015-09-09,113.76,114.02,109.77,110.15,85010804
2015-09-10,110.27,113.28,109.9,112.57,62892831
2015-09-11,111.79,114.21,111.76,114.21,49915473
2015-09-14,116.58,116.89,114.86,115.31,58363431
2015-09-15,115.93,116.53,114.42,116.28,43341155
2015-09-16,116.25,116.54,115.44,116.41,37173489
2015-09-17,115.66,116.49,113.72,113.92,64112641
2015-09-18,112.21,114.3,111.87,113.45,74285291
2015-09-21,113.67,115.37,113.66,115.21,50221965
2015-09-22,113.38,114.18,112.52,113.4,50346159
2015-09-23,113.63,114.72,113.3,114.32,35756716
2015-09-24,113.25,115.5,112.37,115.0,50219475
2015-09-25,116.44,116.69,114.02,114.71,56151926
2015-09-28,113.85,114.57,112.44,112.44,52109011
2015-09-29,112.83,113.51,107.86,109.06,73365384
2015-09-30,110.17,111.54,108.73,110.3,66473033
2015-10-01,109.07,109.62,107.31,109.58,63929100
2015-10-02,108.01,111.01,107.55,110.38,58019758
2015-10-05,109.88,111.37,109.07,110.78,52064743
2015-10-06,110.63,111.74,109.77,111.31,48856977
2015-10-07,111.74,111.77,109.41,110.78,46765550
2015-10-08,110.19,110.19,108.21,109.5,61979577
2015-10-09,110.0,112.28,109.49,112.12,52766140
2015-10-12,112.73,112.75,111.44,111.6,30467204
2015-10-13,110.82,112.45,110.68,111.79,33049256
2015-10-14,111.29,111.52,109.56,110.21,44462449
2015-10-15,110.93,112.1,110.49,111.86,37673452
2015-10-16,111.78,112.0,110.53,111.04,39232609
2015-10-19,110.8,111.75,110.11,111.73,29759153
2015-10-20,111.34,114.17,110.82,113.77,48967763
2015-10-21,114.0,115.58,113.7,113.76,42326974
