,close,high,low,open,vol
2003-07-30,9755.3,9755.3,9755.3,9755.3,0
2003-07-31,9755.3,9755.3,9755.3,9755.3,0
2003-08-01,9785.1,9785.1,9785.1,9863.3,0
2003-08-04,9714.6,9714.6,9714.6,9785.1,0
2003-08-05,9779.3,9779.3,9779.3,9714.6,0
2003-08-06,9685.6,9685.6,9685.6,9779.3,0
2003-08-07,9652.1,9652.1,9652.1,9685.6,0
2003-08-08,9694.7,9694.7,9694.7,9652.1,0
2003-08-11,9743.1,9743.1,9743.1,9694.7,0
2003-08-12,9813.0,9813.0,9813.0,9743.1,0
2003-08-13,9789.0,9789.0,9789.0,9813.0,0
2003-08-14,9945.8,9945.8,9945.8,9789.0,0
2003-08-18,10030.3,10030.3,10030.3,9945.8,0
2003-08-19,10060.6,10060.6,10060.6,10030.3,0
2003-08-20,10043.0,10043.0,10043.0,10060.6,0
2003-08-21,10092.1,10092.1,10092.1,10043.0,0
2003-08-22,10079.5,10079.5,10079.5,10092.1,0
2003-08-25,10024.3,10024.3,10024.3,10079.5,0
2003-08-26,9973.4,9973.4,9973.4,10024.3,0
2003-08-27,9991.9,9991.9,9991.9,9973.4,0
2003-08-28,10036.4,10036.4,10036.4,9991.9,0
2003-08-29,9947.1,9947.1,9947.1,10036.4,0
2003-09-01,10063.4,10063.4,10063.4,9947.1,0
2003-09-02,10076.7,10076.7,10076.7,10063.4,0
2003-09-03,10199.6,10199.6,10199.6,10076.7,0
2003-09-04,10163.2,10163.2,10163.2,10199.6,0
2003-09-05,10114.0,10114.0,10114.0,10163.2,0
2003-09-08,10193.0,10193.0,10193.0,10114.0,0
2003-09-09,10099.3,10099.3,10099.3,10193.0,0
2003-09-10,9953.7,9953.7,9953.7,10099.3,0
2003-09-11,9950.1,9950.1,9950.1,9953.7,0
2003-09-12,9823.6,9823.6,9823.6,9950.1,0
2003-09-15,9872.1,9872.1,9872.1,9823.6,0
2003-09-16,9976.2,9976.2,9976.2,9872.1,0
2003-09-17,9996.7,9996.7,9996.7,9976.2,0
2003-09-18,10065.3,10065.3,10065.3,9996.7,0
2003-09-19,9935.2,9935.2,9935.2,10065.3,0
2003-09-22,9726.2,9726.2,9726.2,9935.2,0
2003-09-23,9726.0,9726.0,9726.0,9726.2,0
2003-09-24,9664.2,9664.2,9664.2,9726.0,0
2003-09-25,9645.6,9645.6,9645.6,9664.2,0
2003-09-26,9524.9,9524.9,9524.9,9645.6,0
2003-09-29,9472.5,9472.5,9472.5,9524.9,0
2003-09-30,9377.0,9377.0,9377.0,9472.5,0
2003-10-01,9446.8,9446.8,9446.8,9377.0,0
2003-10-02,9462.7,9462.7,9462.7,9446.8,0
2003-10-03,9686.4,9686.4,9686.4,9462.7,0
2003-10-06,9649.7,9649.7,9649.7,9686.4,0
2003-10-07,9648.5,9648.5,9648.5,9647.9,0
2003-10-08,9690.7,9690.7,9690.7,9648.5,0
2003-10-09,9823.4,9823.4,9823.4,9690.7,0
2003-10-10,9772.5,9772.5,9772.5,9823.4,0
2003-10-13,9896.3,9896.3,9896.3,9772.5,0
2003-10-14,9864.9,9864.9,9864.9,9896.3,0
2003-10-15,9892.8,9892.8,9892.8,9864.9,0
2003-10-16,9879.9,9879.9,9879.9,9892.8,0
2003-10-17,9822.7,9822.7,9822.7,9879.9,0
2003-10-20,9810.4,9810.4,9810.4,9822.7,0
2003-10-21,9842.1,9842.1,9842.1,9810.4,0
2003-10-22,9711.8,9711.8,9711.8,9842.1,0
2003-10-23,9663.0,9663.0,9663.0,9711.8,0
2003-10-24,9647.7,9647.7,9647.7,9663.0,0
2003-10-27,9762.9,9762.9,9762.9,9647.7,0
2003-10-28,9865.1,9865.1,9865.1,9762.9,0
2003-10-29,9874.4,9874.4,9874.4,9865.1,0
2003-10-30,9999.0,9999.0,9999.0,9874.4,0
2003-10-31,10055.5,10055.5,10555.5,9999.0,0
2003-11-03,10191.3,10191.3,10191.3,10555.5,0
2003-11-04,10169.2,10169.2,10169.2,10191.3,0
2003-11-05,10164.1,10164.1,10164.1,10169.2,0
2003-11-06,10209.3,10209.3,10209.3,10164.1,0
2003-11-07,10265.4,10265.4,10265.4,10209.3,0
2003-11-10,10202.1,10202.1,10202.1,10265.4,0
2003-11-11,10157.4,10157.4,10157.4,10202.1,0
2003-11-12,10240.1,10240.1,10240.1,10157.4,0
2003-11-13,10257.2,10257.2,10257.2,10240.1,0
2003-11-14,10308.3,10308.3,10308.3,10257.2,0
2003-11-17,10082.5,10082.5,10082.5,10308.3,0
2003-11-18,10073.1,10073.1,10073.1,10082.5,0
2003-11-19,10078.9,10078.9,10078.9,10073.1,0
2003-11-20,10050.8,10050.8,10050.8,10078.9,0
2003-11-21,10098.0,10098.0,10098.0,10050.8,0
2003-11-24,10237.7,10237.7,10237.7,10050.8,0
