MEFF: Mini IBEX
Fecha	Hora	CC	Compra	Venta	CV	Ultimo	Contratos	Delta	Nombre Subya	Fecha Expir	Strike	Delta	Contratos	Ultimo	CC	Compra	Venta	CV	Hora	Fecha
23/05/2019	07:07:06					2.901,00		1,00	IBEX 35     	21/06/2019	6.200,000	-0,010		1,00			11,00	1	07:14:34	23/05/2019
23/05/2019	07:07:06					2.801,00		0,99	IBEX 35     	21/06/2019	6.300,000	-0,010		1,00			11,00	1	07:14:35	23/05/2019
23/05/2019	07:07:06					2.702,00		0,99	IBEX 35     	21/06/2019	6.400,000	-0,010		1,00			11,00	1	07:14:35	23/05/2019
23/05/2019	07:07:07					2.602,00		0,94	IBEX 35     	21/06/2019	6.500,000	-0,050		1,00			11,00	1	07:14:36	23/05/2019
23/05/2019	07:07:07					2.503,00		0,94	IBEX 35     	21/06/2019	6.600,000	-0,060		1,00			11,00	1	07:14:36	23/05/2019
23/05/2019	07:07:07					2.404,00		0,93	IBEX 35     	21/06/2019	6.700,000	-0,070		1,00			11,00	1	07:14:36	23/05/2019
23/05/2019	07:07:07					2.305,00		0,92	IBEX 35     	21/06/2019	6.800,000	-0,080		1,00			11,00	1	07:14:37	23/05/2019
23/05/2019	07:07:07					2.206,00		0,91	IBEX 35     	21/06/2019	6.900,000	-0,090		1,00			11,00	1	07:14:37	23/05/2019
23/05/2019	07:07:07					2.107,00		0,90	IBEX 35     	21/06/2019	7.000,000	-0,100		1,00			3,00	2	07:14:37	23/05/2019
23/05/2019	07:07:07					2.009,00		0,88	IBEX 35     	21/06/2019	7.100,000	-0,110		1,00			11,00	1	07:14:38	23/05/2019
23/05/2019	07:07:07					1.910,00		0,87	IBEX 35     	21/06/2019	7.200,000	-0,130		1,00			12,00	1	07:14:38	23/05/2019
23/05/2019	07:07:08					1.902,00		0,85	IBEX 35     	21/06/2019	7.300,000	-0,140		1,00			13,00	1	07:14:39	23/05/2019
23/05/2019	07:07:08					1.802,00		0,84	IBEX 35     	21/06/2019	7.400,000	-0,160		1,00			14,00	1	07:14:39	23/05/2019
23/05/2019	07:07:08					1.702,00		0,82	IBEX 35     	21/06/2019	7.500,000	-0,180		1,00			15,00	1	07:14:40	23/05/2019
23/05/2019	07:07:08					1.603,00		0,80	IBEX 35     	21/06/2019	7.600,000	-0,19		2,00			16,00	1	07:14:40	23/05/2019
23/05/2019	07:07:08					1.503,00		0,78	IBEX 35     	21/06/2019	7.700,000	-0,22		2,00			17,00	1	07:14:40	23/05/2019
23/05/2019	07:07:08					1.404,00		0,76	IBEX 35     	21/06/2019	7.800,000	-0,24		3,00			18,00	1	07:14:41	23/05/2019
23/05/2019	07:07:08					1.304,00		0,73	IBEX 35     	21/06/2019	7.900,000	-0,26		4,00			19,00	1	07:14:41	23/05/2019
23/05/2019	07:07:08					1.206,00		0,71	IBEX 35     	21/06/2019	8.000,000	-0,29		5,00			20,00	1	07:14:42	23/05/2019
23/05/2019	07:07:09					1.107,00		0,68	IBEX 35     	21/06/2019	8.100,000	-0,31		6,00			11,00	1	07:14:43	23/05/2019
23/05/2019	07:07:09					1.009,00		0,65	IBEX 35     	21/06/2019	8.200,000	-0,34		8,00			22,00	1	07:14:43	23/05/2019
23/05/2019	07:07:09					912,00		0,63	IBEX 35     	21/06/2019	8.300,000	-0,37	2	16,00	3	9,00	18,00	1	15:07:21	23/05/2019
23/05/2019	07:07:09					815,00		0,60	IBEX 35     	21/06/2019	8.400,000	-0,40	7	24,00	3	13,00	24,00	1	12:12:48	23/05/2019
23/05/2019	10:18:42	250	597,00	647,00	250	643,00	1	0,56	IBEX 35     	21/06/2019	8.500,000	-0,44		19,00	250	23,00	33,00	1	07:14:45	23/05/2019
